image_id;tma_number;roll;frame;view_direction;altitude;azimuth;date_year;date_month;date_day;cam_id;location
CA181831L0006;1818;31L;6;L;20700;1.109;1966;0;0;32;peninsula
CA182531L0104;1825;31L;104;L;20380;2.925;1966;12;18;32;peninsula
CA207333R0067;2073;33R;67;R;;2.870;1967;12;0;32;peninsula
CA212133R0079;2121;33R;79;R;;2.908;1968;11;23;32;peninsula
CA183132V0045;1831;32V;45;V;20360;1.038;1966;12;18;32;peninsula
CA216733R0348;2167;33R;348;R;;1.103;1969;1;12;32;peninsula
CA182331L0075;1823;31L;75;L;20000;0.3139;1966;11;25;32;peninsula
CA174332V0230;1743;32V;230;V;25000;2.913;1966;1;29;32;peninsula
CA180531L0011;1805;31L;11;L;;1.048;1966;0;0;32;peninsula
CA183133R0017;1831;33R;17;R;20360;1.038;1966;12;18;32;peninsula
CA183532V0058;1835;32V;58;V;20500;3.598;1966;11;28;32;peninsula
CA196933R0181;1969;33R;181;R;26000;1.111;1967;1;7;32;peninsula
CA183232V0050;1832;32V;50;V;20360;2.841;1966;12;18;32;peninsula
CA182231L0103;1822;31L;103;L;20500;1.810;1966;11;23;32;peninsula
CA181733R0023;1817;33R;23;R;20700;2.877;1966;0;0;32;peninsula
CA181232V0063;1812;32V;63;V;20340;2.867;1966;12;18;32;peninsula
CA183133R0063;1831;33R;63;R;20360;1.038;1966;12;18;32;peninsula
CA207532V0320;2075;32V;320;V;;2.799;1967;12;0;32;peninsula
CA183333R0154;1833;33R;154;R;20380;1.110;1966;12;18;32;peninsula
CA184932V0221;1849;32V;221;V;19200;2.837;1966;12;27;32;peninsula
CA180432V0193;1804;32V;193;V;;2.894;1966;0;0;32;peninsula
CA180432V0200;1804;32V;200;V;;2.894;1966;0;0;32;peninsula
CA182132V0034;1821;32V;34;V;16000;2.849;1966;11;18;32;peninsula
CA216731L0367;2167;31L;367;L;;1.103;1969;1;12;32;peninsula
CA182933R0025;1829;33R;25;R;20150;2.851;1966;12;18;32;peninsula
CA180732V0041;1807;32V;41;V;20000;2.870;1966;0;0;32;peninsula
CA180132V0110;1801;32V;110;V;;1.139;1966;0;0;32;peninsula
CA184631L0290;1846;31L;290;L;19200;1.111;1966;12;27;32;peninsula
CA216431L0209;2164;31L;209;L;;1.121;1969;1;12;32;peninsula
CA181831L0042;1818;31L;42;L;20700;1.109;1966;0;0;32;peninsula
CA182133R0176;1821;33R;176;R;16000;2.849;1966;11;18;32;peninsula
CA184631L0293;1846;31L;293;L;19200;1.111;1966;12;27;32;peninsula
CA182332V0047;1823;32V;47;V;20000;0.3139;1966;11;25;32;peninsula
CA182332V0030;1823;32V;30;V;20000;0.3139;1966;11;25;32;peninsula
CA184332V0070;1843;32V;70;V;19200;1.108;1966;12;27;32;peninsula
CA196932V0183;1969;32V;183;V;26000;1.111;1967;1;7;32;peninsula
CA183032V0029;1830;32V;29;V;23300;1.029;1966;0;0;32;peninsula
CA181631L0031;1816;31L;31;L;16000;1.120;1966;0;0;32;peninsula
CA184431L0114;1844;31L;114;L;19200;1.122;1966;12;27;32;peninsula
CA181832V0043;1818;32V;43;V;20700;1.109;1966;0;0;32;peninsula
CA181633R0033;1816;33R;33;R;16000;1.120;1966;0;0;32;peninsula
CA180733R0005;1807;33R;5;R;20000;2.870;1966;0;0;32;peninsula
CA181231L0011;1812;31L;11;L;20340;2.867;1966;12;18;32;peninsula
CA182331L0062;1823;31L;62;L;20000;0.3139;1966;11;25;32;peninsula
CA182531L0064;1825;31L;64;L;20380;2.925;1966;12;18;32;peninsula
CA174532V0011;1745;32V;11;V;24000;1.135;1966;1;28;32;peninsula
CA207433R0151;2074;33R;151;R;;1.033;1967;12;0;32;peninsula
CA182533R0008;1825;33R;8;R;20380;2.925;1966;12;18;32;peninsula
